item_id,timestamp,target_value
DHANUKA,2012-01-09,77.45919799804688
DHANUKA,2012-01-10,77.37288665771484
DHANUKA,2012-01-11,75.04263305664062
DHANUKA,2012-01-12,75.94885254
DHANUKA,2012-01-13,74.61112213134766
DHANUKA,2012-01-16,76.38038635253906
DHANUKA,2012-01-17,76.81190490722656
DHANUKA,2012-01-18,75.51731872558594
DHANUKA,2012-01-19,75.77626037597656
DHANUKA,2012-01-20,71.89248657226562
DHANUKA,2012-01-23,75.56047058105469
DHANUKA,2012-01-24,76.46669006347656
DHANUKA,2012-01-25,77.15712738
DHANUKA,2012-01-27,76.68245697021484
DHANUKA,2012-01-30,75.51731872558594
DHANUKA,2012-01-31,75.90569305419922
DHANUKA,2012-02-01,74.91320037841797
DHANUKA,2012-02-02,73.10076141357422
DHANUKA,2012-02-03,73.79121398925781
DHANUKA,2012-02-06,74.13642883300781
DHANUKA,2012-02-07,74.65428161621094
DHANUKA,2012-02-08,75.17209625
DHANUKA,2012-02-09,74.35220336914062
DHANUKA,2012-02-10,73.01447296142578
DHANUKA,2012-02-13,72.88500213623047
DHANUKA,2012-02-14,73.01447296142578
DHANUKA,2012-02-15,74.99951172
DHANUKA,2012-02-16,75.90569305419922
DHANUKA,2012-02-17,75.12895965576172
DHANUKA,2012-02-21,73.83438110351562
DHANUKA,2012-02-22,73.01447296142578
DHANUKA,2012-02-23,73.05761719
DHANUKA,2012-02-24,72.2808609
DHANUKA,2012-02-27,71.97879028320312
DHANUKA,2012-02-28,72.06508636
DHANUKA,2012-02-29,72.19457244873047
DHANUKA,2012-03-01,71.63358306884766
DHANUKA,2012-03-02,71.67672729492188
DHANUKA,2012-03-05,72.19457244873047
DHANUKA,2012-03-06,71.20205688476562
DHANUKA,2012-03-07,70.81369018554688
DHANUKA,2012-03-09,71.24522399902344
DHANUKA,2012-03-12,70.85682678222656
DHANUKA,2012-03-13,72.10826873779297
DHANUKA,2012-03-14,71.28836059570312
DHANUKA,2012-03-15,70.7705307
DHANUKA,2012-03-16,71.28836059570312
DHANUKA,2012-03-19,70.7705307
DHANUKA,2012-03-20,70.89998626708984
DHANUKA,2012-03-21,71.67672729492188
DHANUKA,2012-03-22,70.08008575439453
DHANUKA,2012-03-23,70.51160430908203
DHANUKA,2012-03-26,70.12323760986328
DHANUKA,2012-03-27,70.72737884521484
DHANUKA,2012-03-28,71.20205688476562
DHANUKA,2012-03-29,70.46846771240234
DHANUKA,2012-03-30,71.67672729492188
DHANUKA,2012-04-02,72.2808609
DHANUKA,2012-04-03,73.1439209
DHANUKA,2012-04-04,72.53978729248047
DHANUKA,2012-04-09,72.15140533447266
DHANUKA,2012-04-10,72.53978729248047
DHANUKA,2012-04-11,70.89998626708984
DHANUKA,2012-04-12,70.64108276367188
DHANUKA,2012-04-13,70.16639709472656
