ticker,Date,OpenPrice,HighPrice,LowPrice,ClosePrice,Volumes,Dividends,Stock Splits
DHANUKA.NS,2011-06-29 00:00:00+05:30,78.42299727,82.10701373,73.68035503,75.41650391,121987,0,0
DHANUKA.NS,2011-06-30 00:00:00+05:30,76.81389056,76.81389056,73.68036057,75.03540039,37830,0,0
DHANUKA.NS,2011-07-01 00:00:00+05:30,70.29273532,76.2210383,70.29273532,75.37413788,48253,0,0
DHANUKA.NS,2011-07-04 00:00:00+05:30,77.06793873,77.06793873,74.52723745,75.37413788,40203,0,0
DHANUKA.NS,2011-07-05 00:00:00+05:30,75.20477427,76.94091658,74.73897636,75.12007904,40502,0,0
DHANUKA.NS,2011-07-06 00:00:00+05:30,73.93444807,79.18523084,73.93444807,78.88881683,112367,0,0
DHANUKA.NS,2011-07-07 00:00:00+05:30,80.03212573,80.28619855,76.8139001,77.83018494,81526,0,0
DHANUKA.NS,2011-07-08 00:00:00+05:30,77.8301945,78.71943658,75.88231984,77.02563477,76381,0,0
DHANUKA.NS,2011-07-11 00:00:00+05:30,77.11029369,77.91484659,74.01910555,75.83994293,69265,0,0
DHANUKA.NS,2011-07-12 00:00:00+05:30,74.52725222,76.1787058,74.52725222,76.09401703,38382,0,0
DHANUKA.NS,2011-07-13 00:00:00+05:30,76.39042451,82.14935065,76.2633946,79.94741058,111046,0,0
DHANUKA.NS,2011-07-14 00:00:00+05:30,77.99955959,81.30247388,77.99955959,79.22756958,63123,0,0
DHANUKA.NS,2011-07-15 00:00:00+05:30,81.8952767,83.67377294,80.03209816,81.26010132,85341,0,0
DHANUKA.NS,2011-07-18 00:00:00+05:30,82.86922074,84.18191923,81.34480357,83.03860474,51901,0,0
DHANUKA.NS,2011-07-19 00:00:00+05:30,82.31874718,88.07767464,82.31874718,87.23077393,216147,0,0
DHANUKA.NS,2011-07-20 00:00:00+05:30,87.90830473,91.88873586,87.73892069,90.49134827,199341,0,0
DHANUKA.NS,2011-07-21 00:00:00+05:30,91.65645551,96.92109727,85.96029276,88.33369446,272083,2,0
DHANUKA.NS,2011-07-22 00:00:00+05:30,89.28305199,94.67714664,89.28305199,93.77094269,101569,0,0
DHANUKA.NS,2011-07-25 00:00:00+05:30,93.03734589,94.97921993,91.82906738,93.03734589,69163,0,0
DHANUKA.NS,2011-07-26 00:00:00+05:30,92.64898806,93.85726684,89.19676676,90.05982208,87772,0,0
